Year_Numeric,College,Course,Subject,Avg_Grade,Std_Grade,Student_Cnt,Fail_Count,Fail_Rate
2022.0,CEA,Bachelor of Science in Electrical Engineering,BCOM0613,1.25,,1,0,0.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,BCOM0713,1.5,,1,0,0.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,BECC0201,1.87,0.64,127,3,2.36
2022.0,CEA,Bachelor of Science in Electrical Engineering,CCOM0213,1.75,,1,0,0.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,CCOM0313,1.25,,1,0,0.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,CCOM0413,1.25,,1,0,0.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,ECCE0313,2.96,0.31,116,88,75.86
2022.0,CEA,Bachelor of Science in Electrical Engineering,ECEE0312,2.17,0.37,115,2,1.74
2022.0,CEA,Bachelor of Science in Electrical Engineering,ECIE0314,2.64,0.76,117,32,27.35
2022.0,CEA,Bachelor of Science in Electrical Engineering,ECOM0213,1.75,,1,0,0.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,EEAD0323,2.75,,1,0,0.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,EEEL0214,2.11,0.65,135,11,8.15
2022.0,CEA,Bachelor of Science in Electrical Engineering,EEEL0413,2.66,0.54,119,57,47.9
2022.0,CEA,Bachelor of Science in Electrical Engineering,EEEM0312,3.46,0.98,129,95,73.64
2022.0,CEA,Bachelor of Science in Electrical Engineering,EEEM0412,1.82,0.34,118,1,0.85
2022.0,CEA,Bachelor of Science in Electrical Engineering,EEIC0413,1.44,0.69,96,4,4.17
2022.0,CEA,Bachelor of Science in Electrical Engineering,EEMP0412,1.86,0.75,118,7,5.93
2022.0,CEA,Bachelor of Science in Electrical Engineering,EEOJT0302,1.96,0.17,7,0,0.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,EEPS0424,3.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,EERM0411,2.04,0.45,111,7,6.31
2022.0,CEA,Bachelor of Science in Electrical Engineering,EESD0415,2.3,0.31,94,3,3.19
2022.0,CEA,Bachelor of Science in Electrical Engineering,EESP0411,1.85,0.52,114,2,1.75
2022.0,CEA,Bachelor of Science in Electrical Engineering,EGEC0103,1.75,0.41,131,1,0.76
2022.0,CEA,Bachelor of Science in Electrical Engineering,EGEC0203,1.75,0.14,7,0,0.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,EGEC0303,1.69,0.5,131,2,1.53
2022.0,CEA,Bachelor of Science in Electrical Engineering,EMAT0103,2.7,0.76,124,39,31.45
2022.0,CEA,Bachelor of Science in Electrical Engineering,EMCC1013,5.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,EMDA0113,1.5,,1,0,0.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,EMDA0213,3.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,EMDA0313,5.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,EMDA0413,5.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,ENDA0213,1.41,0.35,145,1,0.69
2022.0,CEA,Bachelor of Science in Electrical Engineering,ENNM0313,2.69,0.89,113,39,34.51
2022.0,CEA,Bachelor of Science in Electrical Engineering,ENPS0104,1.64,0.27,124,0,0.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,FOLA0113,1.83,0.24,133,1,0.75
2022.0,CEA,Bachelor of Science in Electrical Engineering,GECO0313,2.29,0.4,115,4,3.48
2022.0,CEA,Bachelor of Science in Electrical Engineering,GEEM0313,2.17,0.54,135,7,5.19
2022.0,CEA,Bachelor of Science in Electrical Engineering,GETE0413,1.82,0.7,117,6,5.13
2022.0,CEA,Bachelor of Science in Electrical Engineering,ICTC1113,2.25,,1,0,0.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,ICTC1513,2.75,,1,0,0.0
2022.0,CEA,Bachelor of Science in Electrical Engineering,ICTE0112,2.6,0.52,143,29,20.28
2022.0,CEA,Bachelor of Science in Electrical Engineering,MATH2013,2.67,0.48,140,66,47.14
