Student_ID,College,Course,Year_Numeric,Sem_Numeric,GWA
10_CEA_Bachelor_of_Science_in_Electrical_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Electrical Engineering,2022.0,2,2.75
10_CEA_Bachelor_of_Science_in_Electronics_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Electronics Engineering,2022.0,2,1.81
10_CEA_Bachelor_of_Science_in_Industrial_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Industrial Engineering,2022.0,2,2.31
10_CEA_Bachelor_of_Science_in_Mechanical_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Mechanical Engineering,2022.0,2,1.48
10_COAS_Bachelor_of_Arts_in_Communication_2sem_2022-2023,COAS,Bachelor of Arts in Communication,2022.0,2,1.5
10_CTEC_Bachelor_of_Science_in_Industrial_Technology_2sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,2022.0,2,2.12
10_CTEC_Bachelor_of_Technical_Vocational_Teacher_Education_2sem_2022-2023,CTEC,Bachelor of Technical-Vocational Teacher Education,2022.0,2,1.38
110_CAHS_Bachelor_of_Science_in_Midwifery_2sem_2022-2023,CAHS,Bachelor of Science in Midwifery,2022.0,2,1.25
110_CAHS_Bachelor_of_Science_in_Nursing_2sem_2022-2023,CAHS,Bachelor of Science in Nursing,2022.0,2,1.27
110_CBA_Bachelor_of_Science_in_Hospitality_Management_2sem_2022-2023,CBA,Bachelor of Science in Hospitality Management,2022.0,2,1.25
110_CBA_Bachelor_of_Science_in_Tourism_Management_2sem_2022-2023,CBA,Bachelor of Science in Tourism Management,2022.0,2,1.0
110_CCST_Bachelor_of_Science_in_Computer_Science_2sem_2022-2023,CCST,Bachelor of Science in Computer Science,2022.0,2,2.22
110_CCST_Bachelor_of_Science_in_Entertainment_and_Multimedia_Computing_2sem_2022-2023,CCST,Bachelor of Science in Entertainment and Multimedia Computing,2022.0,2,1.64
110_CCST_Bachelor_of_Science_in_Information_Technology_2sem_2022-2023,CCST,Bachelor of Science in Information Technology,2022.0,2,1.38
110_CEA_Bachelor_of_Science_in_Architecture_2sem_2022-2023,CEA,Bachelor of Science in Architecture,2022.0,2,4.08
110_CEA_Bachelor_of_Science_in_Civil_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Civil Engineering,2022.0,2,2.0
110_CEA_Bachelor_of_Science_in_Electrical_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Electrical Engineering,2022.0,2,1.75
110_CEA_Bachelor_of_Science_in_Electronics_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Electronics Engineering,2022.0,2,2.06
110_CEA_Bachelor_of_Science_in_Industrial_Engineering_2sem_2022-2023,CEA,Bachelor of Science in Industrial Engineering,2022.0,2,2.61
110_COAS_Bachelor_of_Arts_in_Communication_2sem_2022-2023,COAS,Bachelor of Arts in Communication,2022.0,2,1.67
110_CTEC_Bachelor_of_Science_in_Industrial_Technology_2sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,2022.0,2,2.28
110_CTEC_Bachelor_of_Technical_Vocational_Teacher_Education_2sem_2022-2023,CTEC,Bachelor of Technical-Vocational Teacher Education,2022.0,2,1.5
